https://www.youtube.com/watch?v=BInk1AoBHrY 	20 7 2020


2777	594	9
2844	611	11
4502	3372	226
5021	4294	307
7363	4743	344
6643	5081	370
2947	541	400
3263	568	424
3603	597	443
3847	616	468
4055	638	481
4330	664	492
4626	688	503
5449	464	4741
7011	508	6391
7830	5284	1761
8765	5480	710
9853	5675	747
11107	5852	783
1357	607	57
1604	802	802
1863	652	100
2140	913	108
2434	512	710
2728	2728	0
4020	1750	1534
4103	2378	1548
4270	3784	579
4453	1738	2144
4628	4196	78
4979	203	516
5320	2445	535
5760	3689	552
2352	8197	707
4485	3723	762
4552	2826	770
4621	2968	783
4664	1006	2790
4712	1015	1801
4768	2025	811
4817	3035	819
4853	1042	827
4890	1521	833
5443	46	26
2424	513	7
2576	544	9
2696	570	9
4919	1057	840
4947	1062	847
4970	1065	856
3834	1092	1697
4548	1222	1965
4863	1273	1114
5098	1303	2209
5248	1323	2240
5371	1336	1256
5987	3983	1307
6046	1405	2307
6103	2410	2308
6379	4055	2309
6191	1419	2311
6228	1422	1312
4638	1805	260
3934	2190	1025
6165	2633	1361
7487	2866	1527
3969	1097	1750
1313	500	121
3070	746	1345
3239	2681	777
3398	2102	140
3568	2549	144
3735	926	1475
1572	1000	512
4804	3365	800
5048	3563	1724
5183	4400	745
5341	1431	2716
5486	3552	1803

-1
